label,orb_avg_0,orb_avg_1,orb_avg_2,orb_avg_3,orb_avg_4,orb_avg_5,orb_avg_6,orb_avg_7,orb_avg_8,orb_avg_9,orb_avg_10,orb_avg_11,orb_avg_12,orb_avg_13,orb_avg_14,orb_avg_15,orb_avg_16,orb_avg_17,orb_avg_18,orb_avg_19,orb_avg_20,orb_avg_21,orb_avg_22,orb_avg_23,orb_avg_24,orb_avg_25,orb_avg_26,orb_avg_27,orb_avg_28,orb_avg_29,orb_avg_30,orb_avg_31
1F2N,113.912,135.206,130.462,120.152,126.458,119.41,119.892,129.584,132.038,132.076,142.024,101.942,147.998,132.352,99.766,105.272,120.664,147.884,136.018,105.84,118.458,147.618,157.01,94.778,164.866,155.008,101.566,107.49,127.098,137.82,121.57,121.488
1F2N,77.016,95.39,139.77,137.148,123.786,113.616,146.884,127.708,139.824,166.034,198.386,117.728,171.304,181.952,129.034,141.166,162.17,173.326,167.548,95.166,107.4,183.364,191.622,144.164,139.616,147.334,117.98,109.266,107.23,115.126,98.614,168.536
1F2N,122.986,134.006,120.622,141.812,122.934,137.554,120.342,125.418,127.11,111.226,155.708,110.22,148.168,130.394,103.18,112.006,132.79,148.412,136.17,113.854,115.17,136.914,145.032,110.782,158.17,170.256,115.94,109.954,126.172,129.812,126.83,116.52
1F2N,110.24,129.298,128.66,117.508,121.264,120.394,117.298,127.272,129.45,131.81,140.676,96.296,146.856,131.946,94.612,99.87,115.794,151.032,135.18,102.518,118.22,149.73,162.346,86.614,158.108,157.378,94.696,101.892,122.64,135.458,117.228,118.432
1F2N,105.72,134.238,111.864,160.99,128.356,144.078,136.79,137.404,124.768,105.878,147.82,96.376,151.272,138.498,109.146,104.386,144.176,128.636,102.628,126.186,115.536,145.956,116.772,149.112,153.894,156.6,135.594,118.598,116.66,123.462,136.49,128.976
1F2N,98.244,128.318,110.646,168.09,123.556,144.956,154.838,135.89,122.278,95.058,150.724,96.194,145.232,149.454,110.554,110.328,152.958,123.346,101.534,144.15,128.434,142.91,103.716,171.568,137.704,138.408,151.97,125.29,108.358,118.08,136.996,135.048
1F2N,107.234,127.804,121.954,122.308,117.302,118.968,122.17,128.386,126.8,139.324,139.98,99.34,144.366,126.628,95.822,98.312,121.09,149.662,134.84,105.376,116.954,151.384,158.446,93.908,159.526,154.206,99.774,102.084,116.602,130.926,117.666,116.612
1F2N,106.15,130.874,127.23,116.334,131.936,139.548,130.962,138.772,133.034,121.128,144.038,118.144,133.012,144.304,107.486,113.51,136.626,140.028,148.356,130.49,133.782,133.758,134.124,123.978,138.166,141.116,111.198,126.002,125.138,127.678,123.922,144.81
1F3N,94.28,123.824,112.714,168.45,111.698,139.642,142.944,135.274,125.814,76.266,160.0,83.64,134.334,138.138,98.032,96.06,148.078,137.32,112.344,134.02,103.952,143.894,115.366,179.748,160.058,165.998,128.618,119.72,112.27,114.052,124.282,125.758
1F3N,100.316,125.154,142.632,155.556,133.194,126.714,152.57,137.452,123.814,131.29,142.768,133.544,126.882,150.316,130.568,113.104,138.124,149.088,129.722,141.706,138.88,154.098,121.962,174.882,133.718,149.974,139.228,136.968,126.856,143.604,127.82,145.082
1F3N,118.594,141.55,136.448,116.424,133.266,123.762,118.976,140.22,130.558,139.274,143.544,109.092,151.406,146.052,112.528,109.554,123.358,147.148,138.004,114.926,126.042,147.766,161.446,100.548,154.424,156.35,102.382,107.366,131.696,141.59,125.08,123.406
1F3N,83.782,134.21,116.106,153.744,121.714,141.062,152.994,139.414,117.63,101.732,143.23,111.372,117.734,141.008,110.532,99.532,146.348,124.386,103.914,145.382,131.416,133.624,94.5,171.904,128.594,124.954,139.024,132.936,104.178,108.8,134.84,138.988
1F3N,84.206,134.546,120.34,141.608,122.846,128.412,148.852,138.918,113.29,118.974,139.138,103.618,111.112,143.198,117.372,100.298,135.414,127.936,118.818,142.182,138.526,133.946,104.09,164.988,113.956,111.064,133.09,139.478,106.334,116.204,125.01,135.316
1F3N,96.844,121.044,143.936,154.912,130.576,130.158,157.992,131.478,121.222,134.904,142.586,129.558,125.272,151.928,136.582,110.41,140.314,148.084,130.73,134.848,137.056,152.684,120.4,174.228,132.826,153.2,135.898,140.356,127.366,143.164,124.072,148.254
1F3N,100.51,122.764,144.356,155.754,132.428,127.93,158.358,135.594,120.094,129.65,143.166,134.948,128.342,154.908,135.342,113.594,143.432,149.022,128.906,139.062,139.226,153.812,119.458,175.13,130.02,146.912,137.514,141.696,125.574,139.762,133.39,150.474
1F3N,94.034,123.362,116.58,147.842,111.436,131.998,131.65,123.754,112.132,99.584,141.336,94.348,122.92,130.536,99.702,97.452,133.968,127.828,121.596,129.92,113.728,136.834,122.216,156.688,133.96,140.822,121.476,135.796,112.172,111.54,118.956,127.616
1F3N,94.244,124.858,107.016,169.232,114.478,144.924,143.52,130.392,133.418,72.138,161.068,82.904,133.046,145.616,96.432,96.86,147.646,134.864,110.344,134.052,102.104,144.2,109.634,179.022,156.732,166.114,129.198,119.716,111.03,113.846,130.722,129.08
